arm,causal_distractor_effect,causal_slot_s_key,causal_target_effect,distractor_key_attention,distractor_value_attention,head,layer,path_scope,seed,step,target_key_attention,target_key_score_margin,target_value_attention
standard,0.0023918449878692627,-0.007914870977401733,-0.005523025989532471,0.06648650765419006,0.06577602028846741,2,2,query-row-to-full-card-direct-edges-all-layers,100,0,0.06723062694072723,0.006094438023865223,0.06633332371711731
standard,0.0023918449878692627,-0.007914870977401733,-0.005523025989532471,0.06657397001981735,0.06669237464666367,3,2,query-row-to-full-card-direct-edges-all-layers,100,0,0.06599578261375427,-0.009485269896686077,0.06579047441482544
standard,0.0023918449878692627,-0.007914870977401733,-0.005523025989532471,0.06624199450016022,0.06627289205789566,0,3,query-row-to-full-card-direct-edges-all-layers,100,0,0.06660697609186172,0.006594143342226744,0.06631450355052948
standard,0.0023918449878692627,-0.007914870977401733,-0.005523025989532471,0.06616747379302979,0.06682637333869934,1,3,query-row-to-full-card-direct-edges-all-layers,100,0,0.06596808135509491,-0.00864690076559782,0.06605561077594757
standard,0.0023918449878692627,-0.007914870977401733,-0.005523025989532471,0.06618277728557587,0.06644480675458908,2,3,query-row-to-full-card-direct-edges-all-layers,100,0,0.06496715545654297,-0.013433692045509815,0.06753116101026535
standard,0.0023918449878692627,-0.007914870977401733,-0.005523025989532471,0.06589286029338837,0.06657915562391281,3,3,query-row-to-full-card-direct-edges-all-layers,100,0,0.06668414920568466,0.010784805752336979,0.06683918833732605
standard,-0.06693340092897415,0.4394049048423767,0.37247151136398315,0.021739646792411804,0.13073259592056274,0,0,query-row-to-full-card-direct-edges-all-layers,100,200,0.0232428889721632,-0.00726008415222168,0.12669041752815247
standard,-0.06693340092897415,0.4394049048423767,0.37247151136398315,0.0284690223634243,0.12176959216594696,1,0,query-row-to-full-card-direct-edges-all-layers,100,200,0.02821715548634529,-0.039435625076293945,0.12283359467983246
standard,-0.06693340092897415,0.4394049048423767,0.37247151136398315,0.023999910801649094,0.12483622878789902,2,0,query-row-to-full-card-direct-edges-all-layers,100,200,0.02470778301358223,-0.01815652847290039,0.12609797716140747
standard,-0.06693340092897415,0.4394049048423767,0.37247151136398315,0.02175091579556465,0.1352861374616623,3,0,query-row-to-full-card-direct-edges-all-layers,100,200,0.02282198891043663,0.0073697566986083984,0.12881289422512054
standard,-0.06693340092897415,0.4394049048423767,0.37247151136398315,0.08181671053171158,0.04380757361650467,0,1,query-row-to-full-card-direct-edges-all-layers,100,200,0.06456446647644043,0.06579002737998962,0.051352113485336304
standard,-0.06693340092897415,0.4394049048423767,0.37247151136398315,0.08170123398303986,0.043206095695495605,1,1,query-row-to-full-card-direct-edges-all-layers,100,200,0.06185463070869446,-0.02031940221786499,0.049058787524700165
standard,-0.06693340092897415,0.4394049048423767,0.37247151136398315,0.0766526311635971,0.038364216685295105,2,1,query-row-to-full-card-direct-edges-all-layers,100,200,0.053547292947769165,-0.06749250739812851,0.04501219466328621
standard,-0.06693340092897415,0.4394049048423767,0.37247151136398315,0.0799207091331482,0.04415095970034599,3,1,query-row-to-full-card-direct-edges-all-layers,100,200,0.06445375829935074,0.06959810853004456,0.05008944869041443
standard,-0.06693340092897415,0.4394049048423767,0.37247151136398315,0.045093514025211334,0.047357022762298584,0,2,query-row-to-full-card-direct-edges-all-layers,100,200,0.03584853559732437,-0.01035010814666748,0.04286964237689972
standard,-0.06693340092897415,0.4394049048423767,0.37247151136398315,0.04548778384923935,0.044594906270504,1,2,query-row-to-full-card-direct-edges-all-layers,100,200,0.037376970052719116,-0.052388787269592285,0.04526200145483017
standard,-0.06693340092897415,0.4394049048423767,0.37247151136398315,0.04470411688089371,0.045868005603551865,2,2,query-row-to-full-card-direct-edges-all-layers,100,200,0.03618171066045761,0.0022721290588378906,0.04700426757335663
standard,-0.06693340092897415,0.4394049048423767,0.37247151136398315,0.05165562033653259,0.0474967360496521,3,2,query-row-to-full-card-direct-edges-all-layers,100,200,0.04242487624287605,0.05420088768005371,0.04882463812828064
standard,-0.06693340092897415,0.4394049048423767,0.37247151136398315,0.04570436477661133,0.03929252177476883,0,3,query-row-to-full-card-direct-edges-all-layers,100,200,0.039190858602523804,0.0990530252456665,0.039256371557712555
standard,-0.06693340092897415,0.4394049048423767,0.37247151136398315,0.049118392169475555,0.042571406811475754,1,3,query-row-to-full-card-direct-edges-all-layers,100,200,0.04879777878522873,0.2618424892425537,0.04699258133769035
standard,-0.06693340092897415,0.4394049048423767,0.37247151136398315,0.049263663589954376,0.043698739260435104,2,3,query-row-to-full-card-direct-edges-all-layers,100,200,0.035763613879680634,0.03654599189758301,0.04101892560720444
standard,-0.06693340092897415,0.4394049048423767,0.37247151136398315,0.04829581081867218,0.04080778360366821,3,3,query-row-to-full-card-direct-edges-all-layers,100,200,0.04210921749472618,0.09353303909301758,0.041847676038742065
standard,-0.185901939868927,1.1021329164505005,0.9162309765815735,0.019501740112900734,0.13118398189544678,0,0,query-row-to-full-card-direct-edges-all-layers,100,400,0.01867019757628441,-0.09807205200195312,0.1317266821861267
standard,-0.185901939868927,1.1021329164505005,0.9162309765815735,0.017711851745843887,0.12984353303909302,1,0,query-row-to-full-card-direct-edges-all-layers,100,400,0.018647709861397743,0.025754213333129883,0.139622300863266
standard,-0.185901939868927,1.1021329164505005,0.9162309765815735,0.0196508951485157,0.1284034252166748,2,0,query-row-to-full-card-direct-edges-all-layers,100,400,0.019512077793478966,-0.017569661140441895,0.1359787881374359
standard,-0.185901939868927,1.1021329164505005,0.9162309765815735,0.01689591072499752,0.1320374310016632,3,0,query-row-to-full-card-direct-edges-all-layers,100,400,0.017985749989748,0.04019367694854736,0.1331518441438675
standard,-0.185901939868927,1.1021329164505005,0.9162309765815735,0.061216216534376144,0.04053756594657898,0,1,query-row-to-full-card-direct-edges-all-layers,100,400,0.05028335005044937,-0.0580332912504673,0.042197585105895996
standard,-0.185901939868927,1.1021329164505005,0.9162309765815735,0.06486976891756058,0.04861999675631523,1,1,query-row-to-full-card-direct-edges-all-layers,100,400,0.05503077805042267,-0.09076601266860962,0.048314258456230164
standard,-0.185901939868927,1.1021329164505005,0.9162309765815735,0.05650614947080612,0.04188362509012222,2,1,query-row-to-full-card-direct-edges-all-layers,100,400,0.046659138053655624,-0.1819593906402588,0.04115530848503113
standard,-0.185901939868927,1.1021329164505005,0.9162309765815735,0.054482679814100266,0.035065796226263046,3,1,query-row-to-full-card-direct-edges-all-layers,100,400,0.04264147952198982,-0.008931964635848999,0.03886672481894493
standard,-0.185901939868927,1.1021329164505005,0.9162309765815735,0.028964165598154068,0.0390322208404541,0,2,query-row-to-full-card-direct-edges-all-layers,100,400,0.023165030404925346,0.20997142791748047,0.035158559679985046
standard,-0.185901939868927,1.1021329164505005,0.9162309765815735,0.030513275414705276,0.0404345765709877,1,2,query-row-to-full-card-direct-edges-all-layers,100,400,0.026766587048768997,0.0319056510925293,0.0429849810898304
standard,-0.185901939868927,1.1021329164505005,0.9162309765815735,0.038364119827747345,0.04511415585875511,2,2,query-row-to-full-card-direct-edges-all-layers,100,400,0.021740680560469627,-0.14937186241149902,0.04204736277461052
standard,-0.185901939868927,1.1021329164505005,0.9162309765815735,0.03553874418139458,0.043936699628829956,3,2,query-row-to-full-card-direct-edges-all-layers,100,400,0.029013950377702713,0.011377811431884766,0.03931281343102455
standard,-0.185901939868927,1.1021329164505005,0.9162309765815735,0.034912414848804474,0.044050753116607666,0,3,query-row-to-full-card-direct-edges-all-layers,100,400,0.032787151634693146,0.07855987548828125,0.03792651742696762
standard,-0.185901939868927,1.1021329164505005,0.9162309765815735,0.03274570405483246,0.03890655189752579,1,3,query-row-to-full-card-direct-edges-all-layers,100,400,0.028360743075609207,0.283893346786499,0.03802097588777542
standard,-0.185901939868927,1.1021329164505005,0.9162309765815735,0.03546721488237381,0.04420080780982971,2,3,query-row-to-full-card-direct-edges-all-layers,100,400,0.026906348764896393,0.05478382110595703,0.035470739006996155
standard,-0.185901939868927,1.1021329164505005,0.9162309765815735,0.03563249483704567,0.04176991432905197,3,3,query-row-to-full-card-direct-edges-all-layers,100,400,0.03202215954661369,0.15009093284606934,0.04285069927573204
standard,0.10191839933395386,0.725948691368103,0.8278670907020569,0.056639015674591064,0.06643106788396835,0,0,query-row-to-full-card-direct-edges-all-layers,100,800,0.04911918565630913,0.15610861778259277,0.05644281208515167
standard,0.10191839933395386,0.725948691368103,0.8278670907020569,0.0258746650069952,0.12099512666463852,1,0,query-row-to-full-card-direct-edges-all-layers,100,800,0.02946300432085991,0.49636149406433105,0.10414431989192963
standard,0.10191839933395386,0.725948691368103,0.8278670907020569,0.018010690808296204,0.13125377893447876,2,0,query-row-to-full-card-direct-edges-all-layers,100,800,0.020051244646310806,0.3250424861907959,0.13636453449726105
standard,0.10191839933395386,0.725948691368103,0.8278670907020569,0.053633421659469604,0.10955192148685455,3,0,query-row-to-full-card-direct-edges-all-layers,100,800,0.04614444449543953,0.20006465911865234,0.1036200150847435
standard,0.10191839933395386,0.725948691368103,0.8278670907020569,0.14372622966766357,0.007171699311584234,0,1,query-row-to-full-card-direct-edges-all-layers,100,800,0.08592991530895233,-0.20160946249961853,0.010155901312828064
standard,0.10191839933395386,0.725948691368103,0.8278670907020569,0.1469249725341797,0.006550513207912445,1,1,query-row-to-full-card-direct-edges-all-layers,100,800,0.09749191999435425,-0.22886602580547333,0.008520375937223434
standard,0.10191839933395386,0.725948691368103,0.8278670907020569,0.13739562034606934,0.005245966371148825,2,1,query-row-to-full-card-direct-edges-all-layers,100,800,0.06452853977680206,-0.37433305382728577,0.0036297854967415333
standard,0.10191839933395386,0.725948691368103,0.8278670907020569,0.16915550827980042,0.007600856013596058,3,1,query-row-to-full-card-direct-edges-all-layers,100,800,0.09471358358860016,-0.35337966680526733,0.009750066325068474
standard,0.10191839933395386,0.725948691368103,0.8278670907020569,0.02734055183827877,0.013785216026008129,0,2,query-row-to-full-card-direct-edges-all-layers,100,800,0.014684833586215973,0.08735918998718262,0.0028641936369240284
standard,0.10191839933395386,0.725948691368103,0.8278670907020569,0.023607654497027397,0.020725596696138382,1,2,query-row-to-full-card-direct-edges-all-layers,100,800,0.022491715848445892,0.1474897861480713,0.011395089328289032
standard,0.10191839933395386,0.725948691368103,0.8278670907020569,0.039741553366184235,0.019311267882585526,2,2,query-row-to-full-card-direct-edges-all-layers,100,800,0.035450004041194916,-0.1505141258239746,0.01106816902756691
standard,0.10191839933395386,0.725948691368103,0.8278670907020569,0.02958787977695465,0.01772877387702465,3,2,query-row-to-full-card-direct-edges-all-layers,100,800,0.03225712105631828,0.06765484809875488,0.007440422661602497
standard,0.10191839933395386,0.725948691368103,0.8278670907020569,0.04716495797038078,0.018962064757943153,0,3,query-row-to-full-card-direct-edges-all-layers,100,800,0.060177966952323914,0.21257436275482178,0.01764185167849064
standard,0.10191839933395386,0.725948691368103,0.8278670907020569,0.041228778660297394,0.01808268576860428,1,3,query-row-to-full-card-direct-edges-all-layers,100,800,0.04801592975854874,0.1939561367034912,0.01579962484538555
standard,0.10191839933395386,0.725948691368103,0.8278670907020569,0.05019678920507431,0.021724743768572807,2,3,query-row-to-full-card-direct-edges-all-layers,100,800,0.04917311668395996,-0.0931696891784668,0.016209375113248825
standard,0.10191839933395386,0.725948691368103,0.8278670907020569,0.05318519473075867,0.02032104879617691,3,3,query-row-to-full-card-direct-edges-all-layers,100,800,0.047195449471473694,0.04677248001098633,0.02193308062851429
standard,2.9046807289123535,-1.0708000659942627,1.8338806629180908,0.07706302404403687,0.0009060879237949848,0,0,query-row-to-full-card-direct-edges-all-layers,100,1600,0.06745795905590057,0.037281334400177,0.001149590127170086
standard,2.9046807289123535,-1.0708000659942627,1.8338806629180908,0.06282567977905273,0.07916828989982605,1,0,query-row-to-full-card-direct-edges-all-layers,100,1600,0.04395633190870285,-0.33439719676971436,0.08973882347345352
standard,2.9046807289123535,-1.0708000659942627,1.8338806629180908,0.01874314807355404,0.10273339599370956,2,0,query-row-to-full-card-direct-edges-all-layers,100,1600,0.010520204901695251,-0.4934670925140381,0.061174698173999786
standard,2.9046807289123535,-1.0708000659942627,1.8338806629180908,0.07065735757350922,0.07410379499197006,3,0,query-row-to-full-card-direct-edges-all-layers,100,1600,0.06564097106456757,0.08467039465904236,0.06896280497312546
standard,2.9046807289123535,-1.0708000659942627,1.8338806629180908,0.22192278504371643,8.897994121070951e-06,0,1,query-row-to-full-card-direct-edges-all-layers,100,1600,0.027072511613368988,1.9592885971069336,3.6425544749363326e-06
standard,2.9046807289123535,-1.0708000659942627,1.8338806629180908,0.22937625646591187,1.260968201677315e-05,1,1,query-row-to-full-card-direct-edges-all-layers,100,1600,0.027207916602492332,1.6343541145324707,4.7363864723593e-06
standard,2.9046807289123535,-1.0708000659942627,1.8338806629180908,0.22338896989822388,3.181106876581907e-05,2,1,query-row-to-full-card-direct-edges-all-layers,100,1600,0.02947409823536873,1.601750373840332,2.8249723982298747e-05
standard,2.9046807289123535,-1.0708000659942627,1.8338806629180908,0.22300361096858978,0.0005020278040319681,3,1,query-row-to-full-card-direct-edges-all-layers,100,1600,0.035992275923490524,1.8938093185424805,7.331872620852664e-05
standard,2.9046807289123535,-1.0708000659942627,1.8338806629180908,0.05666901916265488,0.018107714131474495,0,2,query-row-to-full-card-direct-edges-all-layers,100,1600,0.02942587621510029,-0.794743537902832,0.020116616040468216
standard,2.9046807289123535,-1.0708000659942627,1.8338806629180908,0.08389115333557129,0.029448604211211205,1,2,query-row-to-full-card-direct-edges-all-layers,100,1600,0.018370047211647034,-0.8957194685935974,0.027240287512540817
standard,2.9046807289123535,-1.0708000659942627,1.8338806629180908,0.08453913778066635,0.03976154699921608,2,2,query-row-to-full-card-direct-edges-all-layers,100,1600,0.034394942224025726,-0.8256082534790039,0.02973642759025097
standard,2.9046807289123535,-1.0708000659942627,1.8338806629180908,0.08525677770376205,0.034582413733005524,3,2,query-row-to-full-card-direct-edges-all-layers,100,1600,0.022168634459376335,-0.7960989475250244,0.025062285363674164
standard,2.9046807289123535,-1.0708000659942627,1.8338806629180908,0.083494171500206,0.03417988121509552,0,3,query-row-to-full-card-direct-edges-all-layers,100,1600,0.04279860109090805,-0.48477253317832947,0.027565088123083115
standard,2.9046807289123535,-1.0708000659942627,1.8338806629180908,0.09867467731237411,0.04743615910410881,1,3,query-row-to-full-card-direct-edges-all-layers,100,1600,0.04334182292222977,-0.5054786801338196,0.0374872088432312
standard,2.9046807289123535,-1.0708000659942627,1.8338806629180908,0.0897025316953659,0.034020718187093735,2,3,query-row-to-full-card-direct-edges-all-layers,100,1600,0.0567215159535408,-0.32874393463134766,0.03630711883306503
standard,2.9046807289123535,-1.0708000659942627,1.8338806629180908,0.08500795066356659,0.03901415318250656,3,3,query-row-to-full-card-direct-edges-all-layers,100,1600,0.04425834119319916,-0.6927034854888916,0.03989524394273758
standard,1.6419094800949097,-0.029917597770690918,1.6119918823242188,0.07535117119550705,0.004227093420922756,0,0,query-row-to-full-card-direct-edges-all-layers,100,3200,0.07005634903907776,0.22811400890350342,0.0010124039836227894
standard,1.6419094800949097,-0.029917597770690918,1.6119918823242188,0.05993330478668213,0.07711680233478546,1,0,query-row-to-full-card-direct-edges-all-layers,100,3200,0.05864245444536209,0.08634287118911743,0.07928425818681717
standard,1.6419094800949097,-0.029917597770690918,1.6119918823242188,0.016924042254686356,0.08474145829677582,2,0,query-row-to-full-card-direct-edges-all-layers,100,3200,0.014754223637282848,-0.26917457580566406,0.08785425126552582
standard,1.6419094800949097,-0.029917597770690918,1.6119918823242188,0.059229567646980286,0.06688215583562851,3,0,query-row-to-full-card-direct-edges-all-layers,100,3200,0.08842189610004425,0.643993616104126,0.07762159407138824
standard,1.6419094800949097,-0.029917597770690918,1.6119918823242188,0.233327254652977,0.0008990289643406868,0,1,query-row-to-full-card-direct-edges-all-layers,100,3200,0.002856264589354396,-4.212155342102051,0.027614062651991844
standard,1.6419094800949097,-0.029917597770690918,1.6119918823242188,0.23619508743286133,0.0011256299912929535,1,1,query-row-to-full-card-direct-edges-all-layers,100,3200,0.002254645572975278,-4.486729621887207,0.021724654361605644
standard,1.6419094800949097,-0.029917597770690918,1.6119918823242188,0.22926507890224457,0.001977957086637616,2,1,query-row-to-full-card-direct-edges-all-layers,100,3200,0.0048868958838284016,-3.4859981536865234,0.03058583289384842
standard,1.6419094800949097,-0.029917597770690918,1.6119918823242188,0.2309173047542572,0.0013688360340893269,3,1,query-row-to-full-card-direct-edges-all-layers,100,3200,0.0034437202848494053,-4.650609970092773,0.026089368388056755
standard,1.6419094800949097,-0.029917597770690918,1.6119918823242188,0.08489809930324554,0.029637981206178665,0,2,query-row-to-full-card-direct-edges-all-layers,100,3200,0.040457628667354584,-0.4462440311908722,0.025718672201037407
standard,1.6419094800949097,-0.029917597770690918,1.6119918823242188,0.06512537598609924,0.037157051265239716,1,2,query-row-to-full-card-direct-edges-all-layers,100,3200,0.029873013496398926,-0.41129374504089355,0.04760245978832245
standard,1.6419094800949097,-0.029917597770690918,1.6119918823242188,0.07008760422468185,0.03961138427257538,2,2,query-row-to-full-card-direct-edges-all-layers,100,3200,0.04356347769498825,-0.5072670578956604,0.02999420464038849
standard,1.6419094800949097,-0.029917597770690918,1.6119918823242188,0.07142581045627594,0.039274539798498154,3,2,query-row-to-full-card-direct-edges-all-layers,100,3200,0.05016016215085983,-0.306164413690567,0.02958407998085022
standard,1.6419094800949097,-0.029917597770690918,1.6119918823242188,0.07200795412063599,0.028929181396961212,0,3,query-row-to-full-card-direct-edges-all-layers,100,3200,0.020372793078422546,-0.48636099696159363,0.02716253325343132
standard,1.6419094800949097,-0.029917597770690918,1.6119918823242188,0.07157416641712189,0.0667203962802887,1,3,query-row-to-full-card-direct-edges-all-layers,100,3200,0.05158054828643799,-0.2031065821647644,0.08288732171058655
standard,1.6419094800949097,-0.029917597770690918,1.6119918823242188,0.08631688356399536,0.036519184708595276,2,3,query-row-to-full-card-direct-edges-all-layers,100,3200,0.026388835161924362,-0.7147802114486694,0.02848796546459198
standard,1.6419094800949097,-0.029917597770690918,1.6119918823242188,0.07975141704082489,0.024418190121650696,3,3,query-row-to-full-card-direct-edges-all-layers,100,3200,0.0301482193171978,-0.611414909362793,0.04145870357751846
standard,0.00282876705750823,-0.008971234783530235,-0.006142467260360718,0.05680989474058151,0.0566939041018486,0,0,query-row-to-full-card-direct-edges-all-layers,101,0,0.05701654404401779,0.009695437736809254,0.055128373205661774
standard,0.00282876705750823,-0.008971234783530235,-0.006142467260360718,0.05673376843333244,0.056792911142110825,1,0,query-row-to-full-card-direct-edges-all-layers,101,0,0.055951014161109924,-0.015910640358924866,0.056319937109947205
standard,0.00282876705750823,-0.008971234783530235,-0.006142467260360718,0.05644453689455986,0.05688364431262016,2,0,query-row-to-full-card-direct-edges-all-layers,101,0,0.05664858967065811,0.0010320344008505344,0.05666419491171837
standard,0.00282876705750823,-0.008971234783530235,-0.006142467260360718,0.05699942633509636,0.05620622634887695,3,0,query-row-to-full-card-direct-edges-all-layers,101,0,0.056505173444747925,-0.005759065970778465,0.057066723704338074
standard,0.00282876705750823,-0.008971234783530235,-0.006142467260360718,0.05658888816833496,0.05650591105222702,0,1,query-row-to-full-card-direct-edges-all-layers,101,0,0.0570383258163929,0.002888292074203491,0.055902112275362015
standard,0.00282876705750823,-0.008971234783530235,-0.006142467260360718,0.05650646612048149,0.05685003846883774,1,1,query-row-to-full-card-direct-edges-all-layers,101,0,0.056339725852012634,-0.0030740152578800917,0.056081436574459076
standard,0.00282876705750823,-0.008971234783530235,-0.006142467260360718,0.056797467172145844,0.05644414573907852,2,1,query-row-to-full-card-direct-edges-all-layers,101,0,0.05617672950029373,-0.0026631378568708897,0.057220786809921265
standard,0.00282876705750823,-0.008971234783530235,-0.006142467260360718,0.056663088500499725,0.056863464415073395,3,1,query-row-to-full-card-direct-edges-all-layers,101,0,0.05619443953037262,-0.0036556068807840347,0.057334642857313156
standard,0.00282876705750823,-0.008971234783530235,-0.006142467260360718,0.05637895688414574,0.05664166063070297,0,2,query-row-to-full-card-direct-edges-all-layers,101,0,0.057130854576826096,0.009048935025930405,0.05536145716905594
standard,0.00282876705750823,-0.008971234783530235,-0.006142467260360718,0.05600312352180481,0.05670612305402756,1,2,query-row-to-full-card-direct-edges-all-layers,101,0,0.05623145028948784,0.0028327913023531437,0.05716070532798767
standard,0.00282876705750823,-0.008971234783530235,-0.006142467260360718,0.05678609758615494,0.05612356588244438,2,2,query-row-to-full-card-direct-edges-all-layers,101,0,0.056725382804870605,0.004791466053575277,0.05524647980928421
standard,0.00282876705750823,-0.008971234783530235,-0.006142467260360718,0.0567062608897686,0.057246848940849304,3,2,query-row-to-full-card-direct-edges-all-layers,101,0,0.055569522082805634,-0.015331435017287731,0.05692654475569725
standard,0.00282876705750823,-0.008971234783530235,-0.006142467260360718,0.056837283074855804,0.05684159696102142,0,3,query-row-to-full-card-direct-edges-all-layers,101,0,0.05648728460073471,-0.004173212684690952,0.05648185312747955
standard,0.00282876705750823,-0.008971234783530235,-0.006142467260360718,0.05675194784998894,0.05616539716720581,1,3,query-row-to-full-card-direct-edges-all-layers,101,0,0.05673281103372574,0.002897480968385935,0.05634738504886627
standard,0.00282876705750823,-0.008971234783530235,-0.006142467260360718,0.056576043367385864,0.05635051056742668,2,3,query-row-to-full-card-direct-edges-all-layers,101,0,0.05675813555717468,0.007148979231715202,0.056522026658058167
standard,0.00282876705750823,-0.008971234783530235,-0.006142467260360718,0.0563044510781765,0.05672689899802208,3,3,query-row-to-full-card-direct-edges-all-layers,101,0,0.05690464749932289,0.012318708002567291,0.05626113712787628
standard,-0.06308989226818085,0.44576072692871094,0.3826708197593689,0.017975827679038048,0.11413361877202988,0,0,query-row-to-full-card-direct-edges-all-layers,101,200,0.018919140100479126,0.0291745662689209,0.11373269557952881
standard,-0.06308989226818085,0.44576072692871094,0.3826708197593689,0.022573620080947876,0.12045960128307343,1,0,query-row-to-full-card-direct-edges-all-layers,101,200,0.023167982697486877,0.0008608102798461914,0.10671226680278778
standard,-0.06308989226818085,0.44576072692871094,0.3826708197593689,0.015633054077625275,0.11795495450496674,2,0,query-row-to-full-card-direct-edges-all-layers,101,200,0.016802527010440826,0.037401795387268066,0.1183946430683136
standard,-0.06308989226818085,0.44576072692871094,0.3826708197593689,0.012854516506195068,0.12017073482275009,3,0,query-row-to-full-card-direct-edges-all-layers,101,200,0.01363201905041933,0.020195722579956055,0.12010344117879868
standard,-0.06308989226818085,0.44576072692871094,0.3826708197593689,0.056512098759412766,0.037922896444797516,0,1,query-row-to-full-card-direct-edges-all-layers,101,200,0.054629452526569366,-0.23219570517539978,0.03919049724936485
standard,-0.06308989226818085,0.44576072692871094,0.3826708197593689,0.05852431803941727,0.04393448680639267,1,1,query-row-to-full-card-direct-edges-all-layers,101,200,0.05025283247232437,-0.2590217590332031,0.03991042822599411
standard,-0.06308989226818085,0.44576072692871094,0.3826708197593689,0.05683352053165436,0.034783653914928436,2,1,query-row-to-full-card-direct-edges-all-layers,101,200,0.05811154097318649,-0.14985379576683044,0.032424233853816986
standard,-0.06308989226818085,0.44576072692871094,0.3826708197593689,0.05926348268985748,0.03828521817922592,3,1,query-row-to-full-card-direct-edges-all-layers,101,200,0.05777362734079361,-0.13156208395957947,0.0379665270447731
standard,-0.06308989226818085,0.44576072692871094,0.3826708197593689,0.034265365451574326,0.035727351903915405,0,2,query-row-to-full-card-direct-edges-all-layers,101,200,0.02970903366804123,-0.030315160751342773,0.03310471400618553
standard,-0.06308989226818085,0.44576072692871094,0.3826708197593689,0.03199467808008194,0.029935434460639954,1,2,query-row-to-full-card-direct-edges-all-layers,101,200,0.025228828191757202,-0.068026602268219,0.030387625098228455
standard,-0.06308989226818085,0.44576072692871094,0.3826708197593689,0.034538112580776215,0.033554382622241974,2,2,query-row-to-full-card-direct-edges-all-layers,101,200,0.030526675283908844,-0.06506931781768799,0.03490237891674042
standard,-0.06308989226818085,0.44576072692871094,0.3826708197593689,0.03388876095414162,0.03294617682695389,3,2,query-row-to-full-card-direct-edges-all-layers,101,200,0.03267081081867218,-0.09941047430038452,0.03181057423353195
standard,-0.06308989226818085,0.44576072692871094,0.3826708197593689,0.03330527991056442,0.027933534234762192,0,3,query-row-to-full-card-direct-edges-all-layers,101,200,0.03048040345311165,-0.06456804275512695,0.026709813624620438
standard,-0.06308989226818085,0.44576072692871094,0.3826708197593689,0.033565208315849304,0.0357426255941391,1,3,query-row-to-full-card-direct-edges-all-layers,101,200,0.03353548049926758,-0.013339877128601074,0.03679376840591431
standard,-0.06308989226818085,0.44576072692871094,0.3826708197593689,0.03599844127893448,0.031290289014577866,2,3,query-row-to-full-card-direct-edges-all-layers,101,200,0.031640440225601196,-0.054623186588287354,0.03179003670811653
standard,-0.06308989226818085,0.44576072692871094,0.3826708197593689,0.03573188930749893,0.03230978175997734,3,3,query-row-to-full-card-direct-edges-all-layers,101,200,0.03216620534658432,-0.042406678199768066,0.033552855253219604
standard,-0.14698649942874908,0.9324202537536621,0.7854337692260742,0.01421853806823492,0.11618074029684067,0,0,query-row-to-full-card-direct-edges-all-layers,101,400,0.01462851744145155,0.03772902488708496,0.12196989357471466
standard,-0.14698649942874908,0.9324202537536621,0.7854337692260742,0.021137785166502,0.12414108961820602,1,0,query-row-to-full-card-direct-edges-all-layers,101,400,0.01558002084493637,-0.02029871940612793,0.11792221665382385
